Subtema	Surah	Ayat	Terjemahan
Nama-Nama Neraka	9	109	Maka apakah orang-orang yang mendirikan mesjidnya di atas dasar takwa kepada Allah dan keridhaan-(Nya) itu yang baik, ataukah orang-orang yang mendirikan bangunannya di tepi jurang yang runtuh, lalu bangunannya itu jatuh bersama-sama dengan dia ke dalam neraka Jahannam. Dan Allah tidak memberikan petunjuk kepada orang-orang yang zalim.
Nama-Nama Neraka	9	113	Tiadalah sepatutnya bagi Nabi dan orang-orang yang beriman memintakan ampun (kepada Allah) bagi orang-orang musyrik, walaupun orang-orang musyrik itu adalah kaum kerabat(nya), sesudah jelas bagi mereka, bahwasanya orang-orang musyrik itu adalah penghuni neraka jahannam.
Nama-Nama Neraka	11	82	Maka tatkala datang azab Kami, Kami jadikan negeri kaum Luth itu yang di atas ke bawah (Kami balikkan), dan Kami hujani mereka dengan batu dari tanah yang terbakar dengan bertubi-tubi,
Nama-Nama Neraka	11	119	kecuali orang-orang yang diberi rahmat oleh Tuhanmu. Dan untuk itulah Allah menciptakan mereka. Kalimat Tuhanmu (keputusan-Nya) telah ditetapkan sesungguhnya Aku akan memenuhi neraka Jahannam dengan jin dan manusia (yang durhaka) semuanya.
Nama-Nama Neraka	13	18	Bagi orang-orang yang memenuhi seruan Tuhannya, (disediakan) pembalasan yang baik. Dan orang-orang yang tidak memenuhi seruan Tuhan, sekiranya mereka mempunyai semua (kekayaan) yang ada di bumi dan (ditambah) sebanyak isi bumi itu lagi besertanya, niscaya mereka akan menebus dirinya dengan kekayaan itu. Orang-orang itu disediakan baginya hisab yang buruk dan tempat kediaman mereka ialah jahannam dan itulah seburuk-buruk tempat kediaman.
Nama-Nama Neraka	14	16	di hadapannya ada Jahannam dan dia akan diberi minuman dengan air nanah,
Nama-Nama Neraka	14	29	yaitu neraka jahannam mereka masuk kedalamnya dan itulah seburuk-buruk tempat kediaman.
Nama-Nama Neraka	15	43	Dan sesungguhnya Jahannam itu benar-benar tempat yang telah diancamkan kepada mereka (pengikut-pengikut syaitan) semuanya.
Nama-Nama Neraka	16	29	Maka masukilah pintu-pintu neraka Jahannam, kamu kekal di dalamnya. Maka amat buruklah tempat orang-orang yang menyombongkan diri itu.
Nama-Nama Neraka	17	8	Mudah-mudahan Tuhanmu akan melimpahkan rahmat(Nya) kepadamu dan sekiranya kamu kembali kepada (kedurhakaan) niscaya Kami kembali (mengazabmu) dan Kami jadikan neraka Jahannam penjara bagi orang-orang yang tidak beriman.
Nama-Nama Neraka	17	18	Barangsiapa menghendaki kehidupan sekarang (duniawi), maka Kami segerakan baginya di dunia itu apa yang kami kehendaki bagi orang yang kami kehendaki dan Kami tentukan baginya neraka jahannam ia akan memasukinya dalam keadaan tercela dan terusir.
Nama-Nama Neraka	17	39	Itulah sebagian hikmah yang diwahyukan Tuhanmu kepadamu. Dan janganlah kamu mengadakan tuhan yang lain di samping Allah, yang menyebabkan kamu dilemparkan ke dalam neraka dalam keadaan tercela lagi dijauhkan (dari rahmat Allah).
Nama-Nama Neraka	17	63	"Tuhan berfirman ""Pergilah, barangsiapa di antara mereka yang mengikuti kamu, maka sesungguhnya neraka Jahannam adalah balasanmu semua, sebagai suatu pembalasan yang cukup."
Nama-Nama Neraka	17	98	"Itulah balasan bagi mereka, karena sesungguhnya mereka kafir kepada ayat-ayat Kami dan (karena mereka) berkata ""Apakah bila kami telah menjadi tulang belulang dan benda-benda yang hancur, apakah kami benar-benar akan dibangkitkan kembali sebagai makhluk baru?"""
Nama-Nama Neraka	18	100	dan Kami nampakkan Jahannam pada hari itu kepada orang-orang kafir dengan jelas,
Nama-Nama Neraka	18	102	maka apakah orang-orang kafir menyangka bahwa mereka (dapat) mengambil hamba-hamba-Ku menjadi penolong selain Aku? Sesungguhnya Kami telah menyediakan neraka Jahannam tempat tinggal bagi orang-orang kafir.
Nama-Nama Neraka	18	106	Demikianlah balasan mereka itu neraka Jahannam, disebabkan kekafiran mereka dan disebabkan mereka menjadikan ayat-ayat-Ku dan rasul-rasul-Ku sebagai olok-olok.
Nama-Nama Neraka	19	68	Demi Tuhanmu, sesungguhnya akan Kami bangkitkan mereka bersama syaitan, kemudian akan Kami datangkan mereka ke sekeliling Jahannam dengan berlutut.
Nama-Nama Neraka	19	86	dan Kami akan menghalau orang-orang yang durhaka ke neraka Jahannam dalam keadaan dahaga.
Nama-Nama Neraka	20	74	Sesungguhnya barangsiapa datang kepada Tuhannya dalam keadaan berdosa, maka sesungguhnya baginya neraka Jahannam. Ia tidak mati di dalamnya dan tidak (pula) hidup.
Nama-Nama Neraka	21	29	"Dan barangsiapa di antara mereka, mengatakan ""Sesungguhnya Aku adalah tuhan selain daripada Allah"", maka orang itu Kami beri balasan dengan Jahannam, demikian Kami memberikan pembalasan kepada orang-orang zalim."
Nama-Nama Neraka	21	98	Sesungguhnya kamu dan apa yang kamu sembah selain Allah, adalah umpan Jahannam, kamu pasti masuk ke dalamnya.
Nama-Nama Neraka	22	51	Dan orang-orang yang berusaha dengan maksud menentang ayat-ayat Kami dengan melemahkan (kemauan untuk beriman) mereka itu adalah penghuni-penghuni neraka.
Nama-Nama Neraka	23	103	Dan barangsiapa yang ringan timbangannya, maka mereka itulah orang-orang yang merugikan dirinya sendiri, mereka kekal di dalam neraka Jahannam.
Nama-Nama Neraka	25	34	Orang-orang yang dihimpunkan ke neraka Jahannam dengan diseret atas muka-muka mereka, mereka itulah orang yang paling buruk tempatnya dan paling sesat jalannya.
Nama-Nama Neraka	25	65	"Dan orang-orang yang berkata ""Ya Tuhan kami, jauhkan azab jahannam dari kami, sesungguhnya azabnya itu adalah kebinasaan yang kekal""."
Nama-Nama Neraka	26	91	"dan diperlihatkan dengan jelas neraka jahiim kepada orang-orang yang sesat"","
Nama-Nama Neraka	29	54	Mereka meminta kepadamu supaya segera diturunkan azab. Dan sesungguhnya Jahannam benar-benar meliputi orang-orang yang kafir,
Nama-Nama Neraka	29	68	Dan siapakah yang lebih zalim daripada orang-orang yang mengada-adakan kedustaan terhadap Allah atau mendustakan yang hak tatkala yang hak itu datang kepadanya? Bukankah dalam neraka Jahannam itu ada tempat bagi orang-orang yang kafir?
Nama-Nama Neraka	30	10	Kemudian, akibat orang-orang yang mengerjakan kejahatan adalah (azab) yang lebih buruk, karena mereka mendustakan ayat-ayat Allah dan mereka selalu memperolok-oloknya.
Nama-Nama Neraka	32	13	"Dan kalau Kami menghendaki niscaya Kami akan berikan kepada tiap-tiap jiwa petunjuk, akan tetapi telah tetaplah perkataan dari pada-Ku ""Sesungguhnya akan Aku penuhi neraka jahannam itu dengan jin dan manusia bersama-sama""."
Nama-Nama Neraka	35	36	Dan orang-orang kafir bagi mereka neraka Jahannam. Mereka tidak dibinasakan sehingga mereka mati dan tidak (pula) diringankan dari mereka azabnya. Demikianlah Kami membalas setiap orang yang sangat kafir.
Nama-Nama Neraka	36	63	Inilah Jahannam yang dahulu kamu diancam (dengannya).
Nama-Nama Neraka	37	23	selain Allah maka tunjukkanlah kepada mereka jalan ke neraka.
Nama-Nama Neraka	37	63	Sesungguhnya Kami menjadikan pohon zaqqum itu sebagai siksaan bagi orang-orang yang zalim.
Nama-Nama Neraka	37	163	kecuali orang-orang yang akan masuk neraka yang menyala.
Nama-Nama Neraka	38	56	(yaitu) neraka Jahannam, yang mereka masuk ke dalamnya maka amat buruklah Jahannam itu sebagai tempat tinggal.
Nama-Nama Neraka	38	85	Sesungguhnya Aku pasti akan memenuhi neraka Jahannam dengan jenis kamu dan dengan orang-orang yang mengikuti kamu di antara mereka kesemuanya.
Nama-Nama Neraka	39	32	Maka siapakah yang lebih zalim daripada orang yang membuat-buat dusta terhadap Allah dan mendustakan kebenaran ketika datang kepadanya? Bukankah di neraka Jahannam tersedia tempat tinggal bagi orang-orang yang kafir?
Nama-Nama Neraka	39	60	Dan pada hari kiamat kamu akan melihat orang-orang yang berbuat dusta terhadap Allah, mukanya menjadi hitam. Bukankah dalam neraka Jahannam itu ada tempat bagi orang-orang yang menyombongkan diri?
Nama-Nama Neraka	39	71	"Orang-orang kafir dibawa ke neraka Jahannam berombong-rombongan. Sehingga apabila mereka sampai ke neraka itu dibukakanlah pintu-pintunya dan berkatalah kepada mereka penjaga-penjaganya ""Apakah belum pernah datang kepadamu rasul-rasul di antaramu yang membacakan kepadamu ayat-ayat Tuhanmu dan memperingatkan kepadamu akan pertemuan dengan hari ini?"" Mereka menjawab ""Benar (telah datang)"". Tetapi telah pasti berlaku ketetapan azab terhadap orang-orang yang kafir."
Nama-Nama Neraka	39	72	"Dikatakan (kepada mereka) ""Masukilah pintu-pintu neraka Jahannam itu, sedang kamu kekal di dalamnya"" Maka neraka Jahannam itulah seburuk-buruk tempat bagi orang-orang yang menyombongkan diri."
Nama-Nama Neraka	40	7	"(Malaikat-malaikat) yang memikul ÇArsy dan malaikat yang berada di sekelilingnya bertasbih memuji Tuhannya dan mereka beriman kepada-Nya serta memintakan ampun bagi orang-orang yang beriman (seraya mengucapkan) ""Ya Tuhan kami, rahmat dan ilmu Engkau meliputi segala sesuatu, maka berilah ampunan kepada orang-orang yang bertaubat dan mengikuti jalan Engkau dan peliharalah mereka dari siksaan neraka yang menyala-nyala,"
Nama-Nama Neraka	40	49	"Dan orang-orang yang berada dalam neraka berkata kepada penjaga-penjaga neraka Jahannam ""Mohonkanlah kepada Tuhanmu supaya Dia meringankan azab dari kami barang sehari""."
Nama-Nama Neraka	40	60	"Dan Tuhanmu berfirman ""Berdoalah kepada-Ku, niscaya akan Kuperkenankan bagimu. Sesungguhnya orang-orang yang menyombongkan diri dari menyembah-Ku akan masuk neraka Jahannam dalam keadaan hina dina""."
Nama-Nama Neraka	40	76	"(Dikatakan kepada mereka) ""Masuklah kamu ke pintu-pintu neraka Jahannam, sedang kamu kekal di dalamnya. Maka itulah seburuk-buruk tempat bagi orang-orang yang sombong""."
Nama-Nama Neraka	43	62	Dan janganlah kamu sekali-kali dipalingkan oleh syaitan sesungguhnya syaitan itu musuh yang nyata bagimu.
Nama-Nama Neraka	43	74	Sesungguhnya orang-orang yang berdosa kekal di dalam azab neraka Jahannam.
Nama-Nama Neraka	44	47	Peganglah dia kemudian seretlah dia ke tengah-tengah neraka.
Nama-Nama Neraka	44	56	mereka tidak akan merasakan mati di dalamnya kecuali mati di dunia. Dan Allah memelihara mereka dari azab neraka,
Nama-Nama Neraka	45	10	Di hadapan mereka neraka Jahannam dan tidak akan berguna bagi mereka sedikitpun apa yang telah mereka kerjakan, dan tidak pula berguna apa yang mereka jadikan sebagai sembahan-sembahan (mereka) dari selain Allah. Dan bagi mereka azab yang besar.
Nama-Nama Neraka	48	6	dan supaya Dia mengazab orang-orang munafik laki-laki dan perempuan dan orang-orang musyrik laki-laki dan perempuan yang mereka itu berprasangka buruk terhadap Allah. Mereka akan mendapat giliran (kebinasaan) yang amat buruk dan Allah memurkai dan mengutuk mereka serta menyediakan bagi mereka neraka Jahannam. Dan (neraka Jahannam) itulah sejahat-jahat tempat kembali.
Nama-Nama Neraka	50	24	"Allah berfirman ""Lemparkanlah olehmu berdua ke dalam neraka semua orang yang sangat ingkar dan keras kepala,"
Nama-Nama Neraka	50	30	"(Dan ingatlah akan) hari (yang pada hari itu) Kami bertanya kepada jahannam ""Apakah kamu sudah penuh?"" Dia menjawab ""Masih ada tambahan?"""
Nama-Nama Neraka	52	13	pada hari mereka didorong ke neraka Jahannam dengan sekuat-kuatnya.
Nama-Nama Neraka	52	18	mereka bersuka ria dengan apa yang diberikan kepada mereka oleh Tuhan mereka dan Tuhan mereka memelihara mereka dari azab neraka.
Nama-Nama Neraka	52	27	Maka Allah memberikan karunia kepada kami dan memelihara kami dari azab neraka.
Nama-Nama Neraka	54	48	"(Ingatlah) pada hari mereka diseret ke neraka atas muka mereka. (Dikatakan kepada mereka) ""Rasakanlah sentuhan api neraka!"""
Nama-Nama Neraka	56	93	maka dia mendapat hidangan air yang mendidih,
Nama-Nama Neraka	56	94	dan dibakar di dalam jahannam.
Nama-Nama Neraka	57	19	Dan orang-orang yang beriman kepada Allah dan Rasul-Nya, mereka itu orang-orang Shiddiqien dan orang-orang yang menjadi saksi di sisi Tuhan mereka. Bagi mereka pahala dan cahaya mereka. Dan orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itulah penghuni-penghuni neraka.
Nama-Nama Neraka	58	8	"Apakah tidak kamu perhatikan orang-orang yang telah dilarang mengadakan pembicaraan rahasia, kemudian mereka kembali (mengerjakan) larangan itu dan mereka mengadakan pembicaraan rahasia untuk berbuat dosa, permusuhan dan durhaka kepada Rasul. Dan apabila mereka datang kepadamu, mereka mengucapkan salam kepadamu dengan memberi salam yang bukan sebagai yang ditentukan Allah untukmu. Dan mereka mengatakan kepada diri mereka sendiri ""Mengapa Allah tidak menyiksa kita disebabkan apa yang kita katakan itu?"" Cukuplah bagi mereka Jahannam yang akan mereka masuki. Dan neraka itu adalah seburuk-buruk tempat kembali."
Nama-Nama Neraka	66	9	Hai Nabi, perangilah orang-orang kafir dan orang-orang munafik dan bersikap keraslah terhadap mereka. Tempat mereka adalah jahannam dan itu adalah seburuk-buruknya tempat kembali.
Nama-Nama Neraka	67	5	Sesungguhnya Kami telah menghiasi langit yang dekat dengan bintang-bintang, dan Kami jadikan bintang-bintang itu alat-alat pelempar syaitan, dan Kami sediakan bagi mereka siksa neraka yang menyala-nyala.
Nama-Nama Neraka	67	6	Dan orang-orang yang kafir kepada Tuhannya, memperoleh azab Jahannam. Dan itulah seburuk-buruk tempat kembali.
Nama-Nama Neraka	67	10	"Dan mereka berkata ""Sekiranya kami mendengarkan atau memikirkan (peringatan itu) niscaya tidaklah kami termasuk penghuni-penghuni neraka yang menyala-nyala""."
Nama-Nama Neraka	67	11	Mereka mengakui dosa mereka. Maka kebinasaanlah bagi penghuni-penghuni neraka yang menyala-nyala.
Nama-Nama Neraka	69	31	Kemudian masukkanlah dia ke dalam api neraka yang menyala-nyala.
Nama-Nama Neraka	72	15	Adapun orang-orang yang menyimpang dari kebenaran, maka mereka menjadi kayu api bagi neraka Jahannam.
Nama-Nama Neraka	72	23	Akan tetapi (aku hanya) menyampaikan (peringatan) dari Allah dan risalah-Nya. Dan barangsiapa yang mendurhakai Allah dan Rasul-Nya maka sesungguhnya baginyalah neraka Jahannam, mereka kekal di dalamnya selama-lamanya.
Nama-Nama Neraka	74	26	Aku akan memasukkannya ke dalam (neraka) Saqar.
Nama-Nama Neraka	74	27	Tahukah kamu apakah (neraka) Saqar itu?
Nama-Nama Neraka	74	42	"""Apakah yang memasukkan kamu ke dalam Saqar (neraka)?"""
Nama-Nama Neraka	78	21	Sesungguhnya neraka Jahannam itu (padanya) ada tempat pengintai,
Nama-Nama Neraka	79	10	"(Orang-orang kafir) berkata ""Apakah sesungguhnya kami benar-benar dikembalikan kepada kehidupan semula?"
Nama-Nama Neraka	79	14	maka dengan serta merta mereka hidup kembali di permukaan bumi.
Nama-Nama Neraka	79	36	dan diperlihatkan neraka dengan jelas kepada setiap orang yang melihat.
Nama-Nama Neraka	79	39	maka sesungguhnya nerakalah tempat tinggal(nya).
Nama-Nama Neraka	81	12	dan apabila neraka jahiim dinyalakan,
Nama-Nama Neraka	82	14	dan sesungguhnya orang-orang yang durhaka benar-benar berada dalam neraka.
Nama-Nama Neraka	83	16	Kemudian, sesungguhnya mereka benar-benar masuk neraka.
Nama-Nama Neraka	85	10	Sesungguhnya orang-orang yang mendatangkan cobaan kepada orang-orang yang mukmin laki-laki dan perempuan kemudian mereka tidak bertaubat, maka bagi mereka azab Jahannam dan bagi mereka azab (neraka) yang membakar.
Nama-Nama Neraka	89	23	Dan pada hari itu diperlihatkan neraka Jahannam dan pada hari itu ingatlah manusia, akan tetapi tidak berguna lagi mengingat itu baginya.
Nama-Nama Neraka	98	6	Sesungguhnya orang-orang yang kafir yakni ahli Kitab dan orang-orang yang musyrik (akan masuk) ke neraka Jahannam mereka kekal di dalamnya. Mereka itu adalah seburuk-buruk makhluk.
Nama-Nama Neraka	101	9	maka tempat kembalinya adalah neraka Hawiyah.
Nama-Nama Neraka	102	6	niscaya kamu benar-benar akan melihat neraka Jahiim,
Nama-Nama Neraka	104	4	sekali-kali tidak! Sesungguhnya dia benar-benar akan dilemparkan ke dalam Huthamah.
Nama-Nama Neraka	104	5	Dan tahukah kamu apa Huthamah itu?
Keabadian Neraka	2	39	Adapun orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itu penghuni neraka mereka kekal di dalamnya.
Keabadian Neraka	2	81	(Bukan demikian), yang benar barangsiapa berbuat dosa dan ia telah diliputi oleh dosanya, mereka itulah penghuni neraka, mereka kekal di dalamnya.
Keabadian Neraka	2	162	Mereka kekal di dalam laknat itu tidak akan diringankan siksa dari mereka dan tidak (pula) mereka diberi tangguh.
Keabadian Neraka	2	167	"Dan berkatalah orang-orang yang mengikuti ""Seandainya kami dapat kembali (ke dunia), pasti kami akan berlepas diri dari mereka, sebagaimana mereka berlepas diri dari kami"". Demikianlah Allah memperlihatkan kepada mereka amal perbuatannya menjadi sesalan bagi mereka dan sekali-kali mereka tidak akan keluar dari api neraka."
Keabadian Neraka	2	217	"Mereka bertanya kepadamu tentang berperang pada bulan Haram. Katakanlah ""Berperang dalam bulan itu adalah dosa besar tetapi menghalangi (manusia) dari jalan Allah, kafir kepada Allah, (menghalangi masuk) Masjidilharam dan mengusir penduduknya dari sekitarnya, lebih besar (dosanya) di sisi Allah. Dan berbuat fitnah lebih besar (dosanya) daripada membunuh. Mereka tidak henti-hentinya memerangi kamu sampai mereka (dapat) mengembalikan kamu dari agamamu (kepada kekafiran), seandainya mereka sanggup. Barangsiapa yang murtad di antara kamu dari agamanya, lalu dia mati dalam kekafiran, maka mereka itulah yang sia-sia amalannya di dunia dan di akhirat, dan mereka itulah penghuni neraka, mereka kekal di dalamnya."
Keabadian Neraka	2	257	Allah Pelindung orang-orang yang beriman Dia mengeluarkan mereka dari kegelapan (kekafiran) kepada cahaya (iman). Dan orang-orang yang kafir, pelindung-pelindungnya ialah syaitan, yang mengeluarkan mereka daripada cahaya kepada kegelapan (kekafiran). Mereka itu adalah penghuni neraka mereka kekal di dalamnya.
Keabadian Neraka	2	275	Orang-orang yang makan (mengambil) riba tidak dapat berdiri melainkan seperti berdirinya orang yang kemasukan syaitan lantaran (tekanan) penyakit gila. Keadaan mereka yang demikian itu, adalah disebabkan mereka berkata (berpendapat), sesungguhnya jual beli itu sama dengan riba, padahal Allah telah menghalalkan jual beli dan mengharamkan riba. Orang-orang yang telah sampai kepadanya larangan dari Tuhannya, lalu terus berhenti (dari mengambil riba), maka baginya apa yang telah diambilnya dahulu (sebelum datang larangan) dan urusannya (terserah) kepada Allah. Orang yang kembali (mengambil riba), maka orang itu adalah penghuni-penghuni neraka mereka kekal di dalamnya.
Keabadian Neraka	4	14	Dan barangsiapa yang mendurhakai Allah dan Rasul-Nya dan melanggar ketentuan-ketentuan-Nya, niscaya Allah memasukkannya ke dalam api neraka sedang ia kekal di dalamnya dan baginya siksa yang menghinakan.
Keabadian Neraka	4	169	kecuali jalan ke neraka Jahannam mereka kekal di dalamnya selama-lamanya. Dan yang demikian itu adalah mudah bagi Allah.
Keabadian Neraka	5	37	Mereka ingin keluar dari neraka, padahal mereka sekali-kali tidak dapat keluar daripadanya, dan mereka beroleh azab yang kekal.
Keabadian Neraka	5	80	Kamu melihat kebanyakan dari mereka tolong-menolong dengan orang-orang yang kafir (musyrik). Sesungguhnya amat buruklah apa yang mereka sediakan untuk diri mereka, yaitu kemurkaan Allah kepada mereka dan mereka akan kekal dalam siksaan.
Keabadian Neraka	6	128	"Dan (ingatlah) hari diwaktu Allah menghimpunkan mereka semuanya (dan Allah berfirman) ""Hai golongan jin, sesungguhnya kamu telah banyak menyesatkan manusia"", lalu berkatalah kawan-kawan meraka dari golongan manusia ""Ya Tuhan kami, sesungguhnya sebahagian daripada kami telah dapat kesenangan dari sebahagian (yang lain) dan kami telah sampai kepada waktu yang telah Engkau tentukan bagi kami"". Allah berfirman ""Neraka itulah tempat diam kamu, sedang kamu kekal di dalamnya, kecuali kalau Allah menghendaki (yang lain)"". Sesungguhnya Tuhanmu Maha Bijaksana lagi Maha Mengetahui."
